t,status,vram_free,vram_total
0,,13949573616,17102733312
1.1,,13949609720,17102733312
2.1,,13949609720,17102733312
3.1,,13949609720,17102733312
4.1,,13949609720,17102733312
5.1,,13949609720,17102733312
6.2,,13949609720,17102733312
7.2,,13949609720,17102733312
8.2,,13949540848,17102733312
9.2,,13949609720,17102733312
10.2,,13949540848,17102733312
11.2,,13949609720,17102733312
12.3,,13949608432,17102733312
13.3,,13949609720,17102733312
14.3,,13949408496,17102733312
15.3,,13949609720,17102733312
16.3,,13949608432,17102733312
17.3,,13949609720,17102733312
18.3,,13949608432,17102733312
19.4,,13949609720,17102733312
20.4,,13949608432,17102733312
21.4,,13949609720,17102733312
22.4,,13949557232,17102733312
23.4,,13949609720,17102733312
24.4,,13949598184,17102733312
25.5,,13949609720,17102733312
26.5,,13949569520,17102733312
27.5,,13949609720,17102733312
28.5,,13949608432,17102733312
29.5,,13949609720,17102733312
30.5,,13949532656,17102733312
31.6,,13949609720,17102733312
32.6,,13949408496,17102733312
33.6,,13949609720,17102733312
34.6,,13949471216,17102733312
35.6,,13949609720,17102733312
36.6,,13949608432,17102733312
37.6,,13949609720,17102733312
38.7,,13949392112,17102733312
39.7,,13949609720,17102733312
40.7,,13949577712,17102733312
41.7,,13949609720,17102733312
42.7,,13949569520,17102733312
43.7,,13949609720,17102733312
44.8,,13949608432,17102733312
45.8,,13949609720,17102733312
46.8,,13949577712,17102733312
47.8,,13949609720,17102733312
48.8,,13949557232,17102733312
49.8,,13949609720,17102733312
50.8,,13949608432,17102733312
51.8,,13949609720,17102733312
52.9,,13949569520,17102733312
53.9,,13949609720,17102733312
54.9,,13949556976,17102733312
55.9,,13949609720,17102733312
56.9,,13949557232,17102733312
57.9,,13949609720,17102733312
59,,13949549040,17102733312
60,,13949609720,17102733312
61,,13949609720,17102733312
62,,13949609720,17102733312
63,,13949609720,17102733312
64,,13949609720,17102733312
65,,13949609720,17102733312
66.1,,13949609720,17102733312
67.1,,13949609720,17102733312
68.1,,13949609720,17102733312
69.1,,13949609720,17102733312
70.1,,13949609720,17102733312
71.1,,13949609720,17102733312
72.1,,13949609720,17102733312
73.2,,13949609720,17102733312
74.2,,13949609720,17102733312
75.2,,13949609720,17102733312
76.2,,13949609720,17102733312
77.2,,13949609720,17102733312
78.2,,13949609720,17102733312
79.2,,13949609720,17102733312
80.3,,13949609720,17102733312
81.3,,13949609720,17102733312
82.3,,13949609720,17102733312
83.3,,13949609720,17102733312
84.3,,13949609720,17102733312
85.3,,13949609720,17102733312
86.3,,13949609720,17102733312
87.3,,13949609720,17102733312
88.3,,13949609720,17102733312
89.4,,13949609720,17102733312
90.4,,13949609720,17102733312
91.4,,13949609720,17102733312
92.4,,13949609720,17102733312
93.4,,13949609720,17102733312
94.4,,13949609720,17102733312
95.5,,13949609720,17102733312
96.5,,13949609720,17102733312
97.5,,13949609720,17102733312
98.5,,13949609720,17102733312
99.5,,13949609720,17102733312
100.5,,13949609720,17102733312
101.5,,13949609720,17102733312
102.5,,13949609720,17102733312
103.6,,13949609720,17102733312
104.6,,13949609720,17102733312
105.6,,13949609720,17102733312
106.6,,13949609720,17102733312
107.6,,13949609720,17102733312
108.6,,13949609720,17102733312
109.7,,13949609720,17102733312
110.7,,13949609720,17102733312
111.7,,13949609720,17102733312
112.7,,13949609720,17102733312
113.7,,13949609720,17102733312
114.7,,13949609720,17102733312
115.7,,13949609720,17102733312
116.8,,13949609720,17102733312
117.8,,13949609720,17102733312
118.8,,13949609720,17102733312
119.8,,13949609720,17102733312
120.8,,13949609720,17102733312
121.8,,13949609720,17102733312
122.8,,13949609720,17102733312
123.9,,13949609720,17102733312
124.9,,13949609720,17102733312
125.9,,13949609720,17102733312
126.9,,13949609720,17102733312
127.9,,13949609720,17102733312
128.9,,13949609720,17102733312
129.9,,13949609720,17102733312
130.9,,13949609720,17102733312
132,,13949609720,17102733312
133,,13949609720,17102733312
134,,13949609720,17102733312
135,,13949609720,17102733312
136,,13949609720,17102733312
137,,13949609720,17102733312
138,,13949609720,17102733312
139.1,,13949540848,17102733312
140.1,,13949609720,17102733312
141.1,,13949408496,17102733312
142.1,,13949609720,17102733312
143.1,,13949608432,17102733312
144.1,,13949609720,17102733312
145.1,,13949598192,17102733312
146.1,,13949609720,17102733312
147.2,,13949408496,17102733312
148.2,,13949609720,17102733312
149.2,,13949577712,17102733312
150.2,,13949609720,17102733312
151.2,,13949516272,17102733312
152.2,,13949609720,17102733312
153.2,,13949408496,17102733312
154.3,,13949609720,17102733312
155.3,,13949608432,17102733312
156.3,,13949609720,17102733312
157.3,,13949608432,17102733312
158.3,,13949609720,17102733312
159.3,,13949571568,17102733312
160.4,,13949609720,17102733312
161.4,,13949608432,17102733312
162.4,,13949609720,17102733312
163.4,,13949557232,17102733312
164.4,,13949609720,17102733312
165.4,,13949598184,17102733312
166.4,,13949609720,17102733312
167.4,,13949598184,17102733312
168.5,,13949609720,17102733312
169.5,,13949577712,17102733312
170.5,,13949609720,17102733312
171.5,,13949609720,17102733312
172.5,,13949609720,17102733312
173.5,,13949609720,17102733312
174.5,,13949609720,17102733312
175.5,,13949609720,17102733312
176.6,,13949609720,17102733312
177.6,,13949609720,17102733312
178.6,,13949609720,17102733312
179.6,,13949609720,17102733312
180.6,,13949609720,17102733312
181.6,,13949609720,17102733312
182.6,,13949609720,17102733312
183.7,,13949609720,17102733312
184.7,,13949609720,17102733312
185.7,,13949609720,17102733312
186.7,,13949609720,17102733312
187.7,,13949609720,17102733312
188.7,,13949609720,17102733312
189.8,,13949609720,17102733312
190.8,,13949609720,17102733312
191.8,,13949609720,17102733312
192.8,,13949609720,17102733312
193.8,,13949609720,17102733312
194.8,,13949609720,17102733312
195.8,,13949609720,17102733312
196.9,,13949609720,17102733312
197.9,,13949609720,17102733312
198.9,,13949609720,17102733312
199.9,,13949609720,17102733312
200.9,,13949609720,17102733312
201.9,,13949609720,17102733312
202.9,,13949609720,17102733312
204,,13949609720,17102733312
205,,13949609720,17102733312
206,,13949609720,17102733312
207,,13949609720,17102733312
208,,13949609720,17102733312
209,,13949609720,17102733312
210,,13949609720,17102733312
211.1,,13949609720,17102733312
212.1,,13949609720,17102733312
213.1,,13949609720,17102733312
214.1,,13949609720,17102733312
215.1,,13949609720,17102733312
216.1,,13949609720,17102733312
217.1,,13949609720,17102733312
218.2,,13949609720,17102733312
219.2,,13949609720,17102733312
220.2,,13949609720,17102733312
221.2,,13949609720,17102733312
222.2,,13949609720,17102733312
223.2,,13949609720,17102733312
224.2,,13949609720,17102733312
225.3,,13949609720,17102733312
226.3,,13949609720,17102733312
227.3,,13949609720,17102733312
228.3,,13949609720,17102733312
229.3,,13949609720,17102733312
230.3,,13949609720,17102733312
231.3,,13949609720,17102733312
232.4,,13949609720,17102733312
233.4,,13949609720,17102733312
234.4,,13949609720,17102733312
235.4,,13949609720,17102733312
236.4,,13949609720,17102733312
237.4,,13949609720,17102733312
238.4,,13949609720,17102733312
239.5,,13949609720,17102733312
