t,status,vram_free,vram_total
0,,11732919896,17102733312
1.1,,11732919896,17102733312
2.1,,11732919896,17102733312
3.1,,11732919896,17102733312
4.1,,11732919896,17102733312
5.1,,11732919896,17102733312
6.2,,11732919896,17102733312
7.2,,11732919896,17102733312
8.2,,11732919896,17102733312
9.2,,11732919896,17102733312
10.2,,11732919896,17102733312
11.2,,11732919896,17102733312
12.2,,11732919896,17102733312
13.3,,11732879696,17102733312
14.3,,11732919896,17102733312
15.3,,11732919896,17102733312
16.3,,11732919896,17102733312
17.3,,11732919896,17102733312
18.3,,11732919896,17102733312
19.3,,11732919896,17102733312
20.3,,11732919896,17102733312
21.4,,11732919896,17102733312
22.4,,11732919896,17102733312
23.4,,11732919896,17102733312
24.4,,11732919896,17102733312
25.4,,11732908368,17102733312
26.4,,11732887888,17102733312
27.4,,11732919896,17102733312
28.4,,11732919896,17102733312
29.4,,11732919896,17102733312
30.5,,11732919896,17102733312
31.5,,11732919896,17102733312
32.5,,11732919896,17102733312
33.5,,11732919896,17102733312
34.5,,11732919896,17102733312
35.5,,11732919896,17102733312
36.5,,11732919896,17102733312
37.6,,11732919896,17102733312
38.6,,11732918608,17102733312
39.6,,11732855120,17102733312
40.6,,11732919896,17102733312
41.6,,11732919896,17102733312
42.6,,11732919896,17102733312
43.6,,11732919896,17102733312
44.7,,11732919896,17102733312
45.7,,11732919896,17102733312
46.7,,11732919896,17102733312
47.7,,11732919896,17102733312
48.7,,11732919896,17102733312
49.7,,11732919896,17102733312
50.7,,11732919896,17102733312
51.7,,11732919896,17102733312
52.7,,11732879696,17102733312
53.8,,11732919896,17102733312
54.8,,11732919896,17102733312
55.8,,11732919896,17102733312
56.8,,11732919896,17102733312
57.8,,11732919896,17102733312
58.8,,11732919896,17102733312
59.8,,11732919896,17102733312
60.9,,11732919896,17102733312
61.9,,11732919896,17102733312
62.9,,11732919896,17102733312
63.9,,11732919896,17102733312
64.9,,11732919896,17102733312
65.9,,11732859216,17102733312
66.9,,11732919896,17102733312
67.9,,11732919896,17102733312
69,,11732919896,17102733312
70,,11732919896,17102733312
71,,11732919896,17102733312
72,,11732919896,17102733312
73,,11732919896,17102733312
74,,11732919896,17102733312
75,,11732919896,17102733312
76,,11732919896,17102733312
77.1,,11732919896,17102733312
78.1,,11732898128,17102733312
