t,status,vram_free,vram_total
0,,13949609720,17102733312
1.1,,13949609720,17102733312
2.1,,13949609720,17102733312
3.1,,13949609720,17102733312
4.1,,13949609720,17102733312
5.1,,13949609720,17102733312
6.1,,13949609720,17102733312
7.2,,13949540848,17102733312
8.2,,13949609720,17102733312
9.2,,13949540848,17102733312
10.2,,13949609720,17102733312
11.2,,13949540848,17102733312
12.2,,13949609720,17102733312
13.2,,13949532656,17102733312
14.3,,13949609720,17102733312
15.3,,13949557232,17102733312
16.3,,13949609720,17102733312
17.3,,13949608432,17102733312
18.3,,13949609720,17102733312
19.3,,13949608432,17102733312
20.3,,13949609720,17102733312
21.3,,13949532656,17102733312
22.3,,13949609720,17102733312
23.4,,13949581808,17102733312
24.4,,13949609720,17102733312
25.4,,13949608432,17102733312
26.4,,13949609720,17102733312
27.4,,13949549040,17102733312
28.4,,13949609720,17102733312
29.4,,13949609720,17102733312
30.4,,13949609720,17102733312
31.5,,13949609720,17102733312
32.5,,13949609720,17102733312
33.5,,13949609720,17102733312
34.5,,13949609720,17102733312
35.5,,13949609720,17102733312
36.5,,13949609720,17102733312
37.5,,13949609720,17102733312
38.5,,13949609720,17102733312
39.6,,13949609720,17102733312
40.6,,13949609720,17102733312
41.6,,13949609720,17102733312
42.6,,13949609720,17102733312
43.6,,13949609720,17102733312
44.6,,13949609720,17102733312
45.6,,13949609720,17102733312
46.7,,13949609720,17102733312
47.7,,13949609720,17102733312
48.7,,13949609720,17102733312
49.7,,13949609720,17102733312
50.7,,13949609720,17102733312
51.7,,13949609720,17102733312
52.7,,13949609720,17102733312
53.8,,13949609720,17102733312
54.8,,13949609720,17102733312
55.8,,13949609720,17102733312
56.8,,13949609720,17102733312
57.8,,13949609720,17102733312
58.8,,13949609720,17102733312
59.8,,13949609720,17102733312
60.9,,13949609720,17102733312
61.9,,13949609720,17102733312
62.9,,13949609720,17102733312
63.9,,13949609720,17102733312
64.9,,13949609720,17102733312
65.9,,13949609720,17102733312
66.9,,13949609720,17102733312
67.9,,13949609720,17102733312
69,,13949609720,17102733312
70,,13949609720,17102733312
71,,13949609720,17102733312
72,,13949609720,17102733312
73,,13949609720,17102733312
74,,13949609720,17102733312
75,,13949609720,17102733312
76,,13949609720,17102733312
77.1,,13949609720,17102733312
78.1,,13949609720,17102733312
79.1,,13949609720,17102733312
80.1,,13949609720,17102733312
81.1,,13949609720,17102733312
82.1,,13949609720,17102733312
83.1,,13949609720,17102733312
84.2,,13949609720,17102733312
85.2,,13949609720,17102733312
86.2,,13949609720,17102733312
87.2,,13949609720,17102733312
88.2,,13949609720,17102733312
89.2,,13949598192,17102733312
90.2,,13949609720,17102733312
91.3,,13949598192,17102733312
92.3,,13949609720,17102733312
93.3,,13949540848,17102733312
94.3,,13949609720,17102733312
95.3,,13949608432,17102733312
96.3,,13949609720,17102733312
97.3,,13949516272,17102733312
98.3,,13949609720,17102733312
99.4,,13949510128,17102733312
100.4,,13949609720,17102733312
101.4,,13949544944,17102733312
102.4,,13949609720,17102733312
103.4,,13949549040,17102733312
104.4,,13949609720,17102733312
105.5,,13949544944,17102733312
106.5,,13949609720,17102733312
107.5,,13949608432,17102733312
108.5,,13949609720,17102733312
109.5,,13949598184,17102733312
110.5,,13949609720,17102733312
111.5,,13949609720,17102733312
112.6,,13949609720,17102733312
113.6,,13949609720,17102733312
114.6,,13949609720,17102733312
115.6,,13949609720,17102733312
116.6,,13949609720,17102733312
117.6,,13949609720,17102733312
118.6,,13949609720,17102733312
119.7,,13949609720,17102733312
120.7,,13949609720,17102733312
121.7,,13949609720,17102733312
122.7,,13949609720,17102733312
123.7,,13949609720,17102733312
124.7,,13949609720,17102733312
125.7,,13949609720,17102733312
126.8,,13949609720,17102733312
127.8,,13949609720,17102733312
128.8,,13949609720,17102733312
129.8,,13949609720,17102733312
130.8,,13949609720,17102733312
131.8,,13949609720,17102733312
132.9,,13949609720,17102733312
133.9,,13949609720,17102733312
134.9,,13949609720,17102733312
135.9,,13949609720,17102733312
136.9,,13949609720,17102733312
137.9,,13949609720,17102733312
138.9,,13949609720,17102733312
139.9,,13949609720,17102733312
141,,13949609720,17102733312
142,,13949609720,17102733312
143,,13949609720,17102733312
144,,13949609720,17102733312
145,,13949609720,17102733312
146,,13949609720,17102733312
147,,13949609720,17102733312
148.1,,13949609720,17102733312
149.1,,13949609720,17102733312
150.1,,13949609720,17102733312
151.1,,13949609720,17102733312
152.1,,13949609720,17102733312
153.1,,13949609720,17102733312
154.2,,13949609720,17102733312
155.2,,13949609720,17102733312
156.2,,13949609720,17102733312
157.2,,13949609720,17102733312
158.2,,13949609720,17102733312
159.2,,13949609720,17102733312
160.2,,13949609720,17102733312
161.3,,13949609720,17102733312
162.3,,13949609720,17102733312
163.3,,13949609720,17102733312
164.3,,13949609720,17102733312
165.3,,13949557232,17102733312
166.3,,13949609720,17102733312
167.3,,13949577712,17102733312
168.3,,13949609720,17102733312
169.4,,13949598192,17102733312
170.4,,13949609720,17102733312
171.4,,13949608432,17102733312
172.4,,13949609720,17102733312
173.4,,13949608432,17102733312
174.4,,13949609720,17102733312
175.4,,13949408496,17102733312
176.5,,13949609720,17102733312
177.5,,13949598192,17102733312
178.5,,13949609720,17102733312
179.5,,13949577712,17102733312
180.5,,13949609720,17102733312
181.5,,13949609720,17102733312
182.5,,13949609720,17102733312
183.5,,13949609720,17102733312
184.6,,13949609720,17102733312
185.6,,13949609720,17102733312
186.6,,13949609720,17102733312
187.6,,13949609720,17102733312
188.6,,13949609720,17102733312
189.6,,13949609720,17102733312
190.7,,13949609720,17102733312
191.7,,13949609720,17102733312
192.7,,13949609720,17102733312
193.7,,13949609720,17102733312
194.7,,13949609720,17102733312
195.7,,13949609720,17102733312
196.7,,13949609720,17102733312
197.8,,13949609720,17102733312
198.8,,13949609720,17102733312
199.8,,13949609720,17102733312
200.8,,13949609720,17102733312
201.8,,13949609720,17102733312
202.8,,13949609720,17102733312
203.8,,13949609720,17102733312
204.9,,13949609720,17102733312
205.9,,13949609720,17102733312
206.9,,13949609720,17102733312
207.9,,13949609720,17102733312
208.9,,13949609720,17102733312
209.9,,13949609720,17102733312
210.9,,13949609720,17102733312
211.9,,13949609720,17102733312
213,,13949609720,17102733312
214,,13949609720,17102733312
215,,13949609720,17102733312
216,,13949609720,17102733312
217,,13949609720,17102733312
218,,13949609720,17102733312
219.1,,13949609720,17102733312
220.1,,13949609720,17102733312
221.1,,13949609720,17102733312
222.1,,13949609720,17102733312
223.1,,13949609720,17102733312
224.1,,13949609720,17102733312
225.1,,13949609720,17102733312
226.1,,13949609720,17102733312
