t,status,vram_free,vram_total
0,,9551812832,17102733312
1.1,,9551881704,17102733312
2.1,,9551881704,17102733312
3.1,,9551881704,17102733312
4.1,,9551881704,17102733312
5.2,,9551881704,17102733312
6.2,,9551881704,17102733312
7.2,,9551881704,17102733312
8.2,,9551880416,17102733312
9.2,,9551881704,17102733312
10.2,,9551881704,17102733312
11.2,,9551828960,17102733312
12.3,,9551881704,17102733312
13.3,,9551881704,17102733312
14.3,,9551845600,17102733312
15.3,,9551881704,17102733312
16.3,,9551881704,17102733312
17.3,,9551881704,17102733312
18.3,,9551881704,17102733312
19.3,,9551881704,17102733312
20.3,,9551881704,17102733312
21.3,,9551881704,17102733312
22.4,,9551881704,17102733312
23.4,,9551881704,17102733312
24.4,,9551881704,17102733312
25.4,,9551881704,17102733312
26.4,,9551881704,17102733312
27.4,,9551881704,17102733312
28.4,,9551881704,17102733312
29.5,,9551881704,17102733312
30.5,,9551881704,17102733312
31.5,,9551680480,17102733312
32.5,,9551881704,17102733312
33.5,,9551881704,17102733312
34.5,,9551859936,17102733312
35.5,,9551881704,17102733312
36.5,,9551881704,17102733312
37.5,,9551849696,17102733312
38.6,,9551881704,17102733312
39.6,,9551881704,17102733312
40.6,,9551881704,17102733312
41.6,,9551881704,17102733312
42.6,,9551881704,17102733312
43.6,,9551881704,17102733312
44.6,,9551881704,17102733312
45.6,,9551881704,17102733312
46.6,,9551881704,17102733312
47.7,,9551881704,17102733312
48.7,,9551881704,17102733312
49.7,,9551881704,17102733312
50.7,,9551881704,17102733312
51.7,,9551881704,17102733312
52.7,,9551881704,17102733312
53.7,,9551881704,17102733312
54.7,,9551828960,17102733312
55.8,,9551881704,17102733312
56.8,,9551881704,17102733312
57.8,,9551853792,17102733312
58.8,,9551881704,17102733312
59.8,,9551881704,17102733312
60.8,,9551841504,17102733312
61.8,,9551881704,17102733312
62.8,,9551881704,17102733312
63.8,,9551881704,17102733312
64.8,,9551881704,17102733312
65.9,,9551881704,17102733312
66.9,,9551881704,17102733312
67.9,,9551881704,17102733312
68.9,,9551881704,17102733312
69.9,,9551881704,17102733312
70.9,,9551881704,17102733312
71.9,,9551881704,17102733312
72.9,,9551881704,17102733312
73.9,,9551881704,17102733312
75,,9551881704,17102733312
76,,9551881704,17102733312
77,,9551881704,17102733312
78,,9551881704,17102733312
79,,9551881704,17102733312
80,,9551881704,17102733312
81,,9551880416,17102733312
82,,9551881704,17102733312
83,,9551881704,17102733312
84,,9551841504,17102733312
85.1,,9551881704,17102733312
86.1,,9551881704,17102733312
87.1,,9551870176,17102733312
88.1,,9551881704,17102733312
89.1,,9551881704,17102733312
90.1,,9551881704,17102733312
91.1,,9551881704,17102733312
92.1,,9551881704,17102733312
93.2,,9551881704,17102733312
94.2,,9551881704,17102733312
95.2,,9551881704,17102733312
96.2,,9551881704,17102733312
97.2,,9551881704,17102733312
98.2,,9551881704,17102733312
99.2,,9551881704,17102733312
100.2,,9551881704,17102733312
101.2,,9551881704,17102733312
102.3,,9551881704,17102733312
103.3,,9551881704,17102733312
104.3,,9551881704,17102733312
105.3,,9551881704,17102733312
106.3,,9551881704,17102733312
107.3,,9551881704,17102733312
108.3,,9551881704,17102733312
109.4,,9551881704,17102733312
110.4,,9551804640,17102733312
111.4,,9551881704,17102733312
112.4,,9551881704,17102733312
113.4,,9551835360,17102733312
114.4,,9551881704,17102733312
115.4,,9551881704,17102733312
116.4,,9551881704,17102733312
117.4,,9551881704,17102733312
118.4,,9551881704,17102733312
119.4,,9551881704,17102733312
120.5,,9551881704,17102733312
121.5,,9551881704,17102733312
122.5,,9551881704,17102733312
123.5,,9551881704,17102733312
124.5,,9551881704,17102733312
125.5,,9551881704,17102733312
126.5,,9551881704,17102733312
127.6,,9551845600,17102733312
128.6,,9551881704,17102733312
129.6,,9551881704,17102733312
130.6,,9551881704,17102733312
131.6,,9551881704,17102733312
132.6,,9551881704,17102733312
133.6,,9551881704,17102733312
134.6,,9551881704,17102733312
135.7,,9551881704,17102733312
136.7,,9551881704,17102733312
137.7,,9551881704,17102733312
138.7,,9551870176,17102733312
139.7,,9551881704,17102733312
140.7,,9551881704,17102733312
141.7,,9551812832,17102733312
142.7,,9551881704,17102733312
143.7,,9551881704,17102733312
144.8,,9551881704,17102733312
145.8,,9551881704,17102733312
146.8,,9551881704,17102733312
147.8,,9551881704,17102733312
148.8,,9551881704,17102733312
149.8,,9551881704,17102733312
150.8,,9551881704,17102733312
151.8,,9551881704,17102733312
152.8,,9551881704,17102733312
153.8,,9551881704,17102733312
154.9,,9551881704,17102733312
155.9,,9551870176,17102733312
156.9,,9551881704,17102733312
157.9,,9551881704,17102733312
158.9,,9551880416,17102733312
159.9,,9551881704,17102733312
161,,9551881704,17102733312
162,,9551881704,17102733312
163,,9551881704,17102733312
164,,9551881704,17102733312
165,,9551881704,17102733312
166,,9551881704,17102733312
167.1,,9551881704,17102733312
168.1,,9551881704,17102733312
169.1,,9551881704,17102733312
170.1,,9551880416,17102733312
171.1,,9551881704,17102733312
172.1,,9551881704,17102733312
173.1,,9551881704,17102733312
174.2,,9551881704,17102733312
175.2,,9551881704,17102733312
176.2,,9551881704,17102733312
177.2,,9551881704,17102733312
178.2,,9551881704,17102733312
179.2,,9551881704,17102733312
180.2,,9551881704,17102733312
181.2,,9551881704,17102733312
182.3,,9551881704,17102733312
183.3,,9551881704,17102733312
184.3,,9551881704,17102733312
185.3,,9551881704,17102733312
186.3,,9551881704,17102733312
187.3,,9551853792,17102733312
188.3,,9551881704,17102733312
189.4,,9551881704,17102733312
190.4,,9551782112,17102733312
191.4,,9551881704,17102733312
192.4,,9551881704,17102733312
193.4,,9551881704,17102733312
194.4,,9551881704,17102733312
195.4,,9551881704,17102733312
196.5,,9551881704,17102733312
197.5,,9551881704,17102733312
198.5,,9551881704,17102733312
199.5,,9551881704,17102733312
200.5,,9551881704,17102733312
201.5,,9551881704,17102733312
202.5,,9551881704,17102733312
203.5,,9551881704,17102733312
204.5,,9551881704,17102733312
205.6,,9551881704,17102733312
206.6,,9551881704,17102733312
207.6,,9551829216,17102733312
208.6,,9551881704,17102733312
209.6,,9551881704,17102733312
210.6,,9551825120,17102733312
211.6,,9551881704,17102733312
212.7,,9551881704,17102733312
213.7,,9551881704,17102733312
214.7,,9551881704,17102733312
215.7,,9551881704,17102733312
216.7,,9551881704,17102733312
217.7,,9551881704,17102733312
218.7,,9551881704,17102733312
219.8,,9551881704,17102733312
220.8,,9551881704,17102733312
221.8,,9551881704,17102733312
222.8,,9551881704,17102733312
223.8,,9551881704,17102733312
224.8,,9551881704,17102733312
225.8,,9551881704,17102733312
226.8,,9551881704,17102733312
227.9,,9551870176,17102733312
228.9,,9551881704,17102733312
229.9,,9551881704,17102733312
230.9,,9551812576,17102733312
231.9,,9551881704,17102733312
232.9,,9551881704,17102733312
233.9,,9551881704,17102733312
235,,9551881704,17102733312
236,,9551881704,17102733312
237,,9551881704,17102733312
238,,9551881704,17102733312
239,,9551881704,17102733312
240,,9551881704,17102733312
241,,9551881704,17102733312
242,,9551881704,17102733312
243.1,,9551881704,17102733312
244.1,,9551881704,17102733312
245.1,,9551881704,17102733312
246.1,,9551881704,17102733312
247.1,,9551881704,17102733312
248.1,,9551829216,17102733312
249.2,,9551881704,17102733312
250.2,,9551881704,17102733312
251.2,,9551625704,17102733312
252.2,,9551881704,17102733312
253.2,,9551881704,17102733312
254.2,,9551881704,17102733312
255.2,,9551881704,17102733312
256.2,,9551881704,17102733312
257.3,,9551881704,17102733312
258.3,,9551881704,17102733312
259.3,,9551881704,17102733312
260.3,,9551881704,17102733312
261.3,,9551881704,17102733312
262.3,,9551880416,17102733312
263.3,,9551881704,17102733312
264.3,,9551881704,17102733312
265.4,,9551880416,17102733312
266.4,,9551881704,17102733312
267.4,,9551881704,17102733312
268.4,,9551881704,17102733312
269.4,,9551881704,17102733312
270.4,,9551881704,17102733312
271.4,,9551881704,17102733312
272.5,,9551881704,17102733312
273.5,,9551881704,17102733312
274.5,,9551881704,17102733312
275.5,,9551881704,17102733312
276.5,,9551839456,17102733312
277.5,,9551881704,17102733312
278.5,,9551881704,17102733312
279.5,,9551881704,17102733312
280.6,,9551881704,17102733312
281.6,,9551881704,17102733312
282.6,,9551881704,17102733312
283.6,,9551881704,17102733312
284.6,,9551881704,17102733312
285.6,,9551881704,17102733312
286.6,,9551881704,17102733312
287.7,,9551845600,17102733312
288.7,,9551881704,17102733312
289.7,,9551881704,17102733312
290.7,,9551880416,17102733312
291.7,,9551881704,17102733312
292.7,,9551881704,17102733312
293.7,,9551881704,17102733312
294.8,,9551881704,17102733312
295.8,,9551881704,17102733312
296.8,,9551881704,17102733312
297.8,,9551881704,17102733312
298.8,,9551881704,17102733312
299.8,,9551881704,17102733312
300.8,,9551881704,17102733312
301.8,,9551849696,17102733312
302.8,,9551881704,17102733312
303.9,,9551881704,17102733312
304.9,,9551881704,17102733312
305.9,,9551881704,17102733312
306.9,,9551881704,17102733312
307.9,,9551881704,17102733312
308.9,,9551881704,17102733312
310,,9551881704,17102733312
311,,9551881704,17102733312
312,,9551881704,17102733312
313,,9551845600,17102733312
314,,9551881704,17102733312
315,,9551881704,17102733312
316,,9551881704,17102733312
317.1,,9551881704,17102733312
318.1,,9551881704,17102733312
319.1,,9551881704,17102733312
320.1,,9551881704,17102733312
321.1,,9551881704,17102733312
322.1,,9551881704,17102733312
323.2,,9551881704,17102733312
324.2,,9551880416,17102733312
325.2,,9551881704,17102733312
326.2,,9551881704,17102733312
327.2,,9551804640,17102733312
328.2,,9551881704,17102733312
329.2,,9551881704,17102733312
330.2,,9551881704,17102733312
331.3,,9551881704,17102733312
332.3,,9551881704,17102733312
333.3,,9551881704,17102733312
334.3,,9551881704,17102733312
335.3,,9551881704,17102733312
336.3,,9551881704,17102733312
337.3,,9551881704,17102733312
338.3,,9551881704,17102733312
339.4,,9551881704,17102733312
340.4,,9551881704,17102733312
341.4,,9551849696,17102733312
342.4,,9551881704,17102733312
343.4,,9551881704,17102733312
344.4,,9551881704,17102733312
345.4,,9551881704,17102733312
346.5,,9551881704,17102733312
347.5,,9551881704,17102733312
348.5,,9551881704,17102733312
349.5,,9551881704,17102733312
350.5,,9551881704,17102733312
351.5,,9551881704,17102733312
352.5,,9551880416,17102733312
353.6,,9551881704,17102733312
354.6,,9551881704,17102733312
355.6,,9551881704,17102733312
356.6,,9551881704,17102733312
357.6,,9551881704,17102733312
358.6,,9551881704,17102733312
359.6,,9551881704,17102733312
360.6,,9551881704,17102733312
361.6,,9551881704,17102733312
362.7,,9551881704,17102733312
363.7,,9551881704,17102733312
364.7,,9551881704,17102733312
365.7,,9551881704,17102733312
366.7,,9551880416,17102733312
367.7,,9551881704,17102733312
368.8,,9551881704,17102733312
369.8,,9551881704,17102733312
370.8,,9551881704,17102733312
371.8,,9551881704,17102733312
372.8,,9551881704,17102733312
373.8,,9551881704,17102733312
374.9,,9551881704,17102733312
375.9,,9551881704,17102733312
376.9,,9551881704,17102733312
377.9,,9551680480,17102733312
378.9,,9551881704,17102733312
379.9,,9551881704,17102733312
380.9,,9551835360,17102733312
381.9,,9551881704,17102733312
382.9,,9551881704,17102733312
384,,9551881704,17102733312
385,,9551881704,17102733312
386,,9551881704,17102733312
387,,9551881704,17102733312
388,,9551881704,17102733312
389,,9551881704,17102733312
390.1,,9551881704,17102733312
391.1,,9551881704,17102733312
392.1,,9551881704,17102733312
393.1,,9551881704,17102733312
394.1,,9551881704,17102733312
395.1,,9551880416,17102733312
